Debug019_aegypti_El_Dorado_Argentina_U_10	Debug019_aegypti_El_Dorado_Argentina_U_11	Debug019_aegypti_El_Dorado_Argentina_U_2	Debug019_aegypti_El_Dorado_Argentina_U_4	Debug019_aegypti_El_Dorado_Argentina_U_5	Debug031_aegypti_El_Dorado_US_U_24	Debug031_aegypti_El_Dorado_US_U_25	Debug031_aegypti_El_Dorado_US_U_26	Debug031_aegypti_El_Dorado_US_U_28	Debug031_aegypti_El_Dorado_US_U_29	Debug031_aegypti_El_Dorado_US_U_30	Debug031_aegypti_El_Dorado_US_U_31	Debug016_aegypti_Cali_Colombia_U_10	Debug016_aegypti_Cali_Colombia_U_11	Debug016_aegypti_Cali_Colombia_U_12	Debug016_aegypti_Cali_Colombia_U_5	Debug016_aegypti_Cali_Colombia_U_8	Debug016_aegypti_Cali_Colombia_U_9	Amacuzac_Mexico-_12	Amacuzac_Mexico-_15	Amacuzac_Mexico-_21	Amacuzac_Mexico-_2	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8
17447	21162	16093	22429	22150	17227	25404	22030	14611	17484	20268	15103	11120	14105	11534	15422	20871	17281	33022	30564	36935	38587	25476	20618	23975	26080	20731	17174	19824	21512	29803	20625	13696	19125	16438
11304	11780	10359	15868	13660	15439	16724	13943	8345	11183	15137	10204	12318	9075	7815	13641	14768	11789	28447	26155	32557	30191	17505	13867	14539	15085	9562	11703	15968	18185	18313	14659	13054	11516	12796
8824	13195	10675	10997	11140	20059	16890	13547	11777	12745	14413	9020	10641	11636	10927	10927	13396	11799	29165	28612	35552	26994	16590	11860	12119	15986	11304	13707	18627	15740	17292	20185	11780	12494	12420
15481	21090	14352	17232	17343	17404	19406	22085	13731	14603	18655	9424	10209	11123	11728	10213	18120	13803	28992	30055	44422	34970	17869	13953	16684	23288	14880	14627	16365	18904	20931	19327	9382	13321	14997
7133	8555	7933	8473	11672	13003	11169	10246	6518	8168	11772	5214	4442	7964	7770	9178	13244	8356	20527	13648	17334	18426	12616	8629	11954	16349	6844	8937	10743	8377	10125	8889	5711	6522	7775
10537	10363	4391	12629	11279	8355	4726	5403	3450	4989	6815	3748	1400	2024	2428	7129	7075	1807	5559	15331	9826	15121	10134	8511	7025	10616	563	5428	748	432	8599	4067	5966	8194	2991
107515	130540	98436	114564	143789	168229	142915	146418	88416	106173	135067	86472	96964	121066	93982	92545	124551	94607	241740	167676	245886	217392	143069	144895	120488	165724	100053	104043	148691	127419	202706	145235	111971	134145	93746
736550	746245	651351	1024313	1065572	890315	900376	827940	644414	753751	803819	569074	863372	931250	773717	748905	1025082	855922	2007554	1171567	1993350	1679314	1078804	890938	771195	1223316	598185	659793	1074506	692571	1116527	1043537	598404	758334	807956
10343	18274	13226	17304	14213	18313	19869	17629	11681	14723	19231	10922	10825	12972	11984	11158	21535	15182	29234	23218	37748	34691	24332	20581	17663	24304	19029	14710	19728	21460	20551	16770	13908	18569	17873
11109	17333	16513	13908	18109	24190	19270	16536	11637	14333	21507	14686	12134	15144	12730	14658	18219	17584	35178	24867	44247	30444	22156	22442	20672	29581	17471	15198	18286	21760	22451	20858	15199	15406	15458
12256	12688	14899	18061	15662	19523	20081	16374	12253	12752	17268	16227	11519	12110	10159	10904	19187	16825	32019	27115	41695	31939	23512	16615	19359	22308	15372	13626	20322	21946	23522	19456	16854	16770	16819
9955	16794	12766	19303	15547	19628	18609	20794	12412	13075	18797	13472	11456	12258	10385	14226	16603	16681	34556	27461	43108	32175	20866	15618	15689	21547	16540	17095	18710	23129	15602	20021	13634	15313	14750
13199	19939	16676	20572	16579	23039	23297	19378	16334	14607	21473	16206	12468	16024	11369	15073	17642	15595	35559	23275	37431	37993	22565	15874	19410	25249	14189	13316	18669	20233	20134	20828	13433	14779	19923
12696	16047	12629	19836	17739	19934	17432	28173	18237	19155	24018	26158	9853	10513	11848	10654	14265	9510	24011	24289	44963	29045	22395	15935	16300	22500	16322	12048	16933	23278	22458	16906	14022	26008	15543
16591	27853	20185	24728	26504	27361	29070	26133	18872	21648	23639	17356	19586	16932	17577	18197	26816	20727	51549	44769	56475	40371	32577	29328	25593	38357	25243	24827	26521	29441	37213	26687	22076	22097	22579
17314	23950	23549	26668	24169	24409	30776	28136	24128	21197	24634	21040	18518	19822	15713	18043	26259	21441	46779	35782	56748	48451	38756	25200	27010	40142	21598	24922	29471	31521	36744	28910	25494	26405	23690
32310	34375	34368	36511	45005	46141	47495	40025	32480	31196	41546	25731	26262	30630	27051	30201	36809	33117	68499	65641	87414	77668	48487	36083	39504	55033	37555	34671	34477	49300	52245	42220	31394	33166	34189
30969	40187	36435	35256	42360	44039	55034	39631	27886	36367	35465	26646	22171	30126	23483	36356	36498	32205	61358	55859	91392	68071	55150	36619	37392	52487	35902	35956	41035	49976	55360	42067	32018	37138	33575
229576	327737	262481	287808	350390	434544	432723	392341	236016	277557	340664	192210	333706	334750	300049	227015	288319	294837	752730	576802	920698	773649	335524	486297	525284	527352	501104	418608	590501	616836	385443	292552	414599	224983	260625
1203741	1477839	975619	1322230	1577589	1347610	1352674	1319692	762855	847603	1028300	532188	1077524	1126850	981315	909645	1251658	1040241	2548499	1709897	2566205	2118032	1568935	1122467	1207127	1548513	1322699	1009397	1791325	1618495	1534486	1362917	959907	1101860	1111073
214106	195832	200635	210227	252478	311380	336692	258282	180092	215031	298314	182430	204058	202938	196554	199339	285254	219524	462814	337772	548906	474483	274992	230599	233312	324488	236180	193768	301209	287816	274764	295427	175415	221243	195718
956682	1020514	1070646	1273392	1035228	1595304	1550816	1060623	982968	1116265	1417865	914250	1032052	1053360	912030	1088641	1438132	1170316	2374633	1763461	2659913	2123933	1600349	1078655	1181836	1521303	1232383	1025058	1473596	1577113	1640403	1481676	992381	1198098	1156764
102177	126499	118898	152078	130212	159154	154064	123674	102431	120233	150326	99592	113808	104487	95403	113300	157031	114188	241630	202419	305910	252249	165184	133352	138933	192671	112892	118347	136033	154469	172383	148599	101009	136839	119848
314181	500305	312848	388202	434749	446177	410319	457233	311624	369574	402334	273324	448633	456923	391083	415428	584041	446941	1108682	803258	1122259	913057	607194	516087	518803	623280	555648	428696	759502	703207	695121	545288	464979	524102	394897
591590	774274	509156	631053	684234	705838	673290	767143	502823	546814	640287	412211	784170	799817	718925	567949	840716	664828	1855225	1060998	1612485	1341480	965370	678415	743366	1006959	1009773	639932	1413240	1217070	982617	823900	562995	665315	630140
91123	88049	108190	116196	141790	146480	155043	121376	95365	104159	143699	95970	105632	102594	99866	111187	156496	124345	313780	210895	292977	269970	175955	120845	182005	191366	135440	145144	155870	168072	179134	178335	118182	151886	129284
72259	54823	87587	86280	77507	113378	110356	94886	75552	82361	107191	67698	75960	79527	68627	79290	102475	79001	165745	137007	199676	178946	126721	92547	95477	125081	92507	77011	116024	118001	119220	106228	79538	86369	73676
24338	33446	26617	34456	35736	38894	37330	36214	24840	29720	31887	21369	20245	21796	16435	21558	30393	27374	46269	46509	69933	53484	40812	24641	31364	42040	31997	23416	25173	34631	39751	31174	24466	31534	22333
303479	363206	285134	341524	345284	420925	429277	387158	268112	303415	403620	268229	288959	288810	257220	289456	391586	320145	658029	545429	761031	646126	440930	319449	328044	477631	379354	277857	465391	448042	468964	386722	295590	339744	309250
27276	21229	16594	23253	28761	25261	29103	26058	16889	18213	24146	17693	17982	16798	14985	19295	28068	19234	47277	43307	47419	45778	35560	22035	25972	31743	26545	16804	31832	27750	29507	30037	19271	24994	16657
3095239	3642117	3368887	4038951	4065446	4839214	4899972	3898614	2899104	3343770	4009146	2519778	3549562	3514066	3149943	3025499	3995076	3241868	7801496	7212243	8325823	6660168	5114782	3282737	3713199	4640620	3698864	3056506	4953860	4625914	4367496	3984321	2990505	3826361	3162862
2092965	2615579	2098623	2558969	2687542	3010693	3103509	2845034	1940077	2232272	2778141	1715213	2230985	2261062	1978352	2043630	2834460	2188553	5188531	4580868	5571952	4616172	3107859	2410451	2445591	3204722	2356955	2075371	3147979	2946559	3327406	2966477	1996386	2383754	2205628
104121	127004	64715	99217	135235	146580	145173	147805	97033	105396	202173	106829	102202	101281	94643	109224	134665	95992	288471	215767	331285	206225	194501	113007	100144	147520	162814	79481	220742	220727	227629	121138	95887	132636	126905
118037	169528	124889	146758	137170	190220	181975	222736	125981	125765	153074	104828	164549	155300	130813	107619	148985	124194	355675	286605	281655	260160	202386	151774	143226	196174	142872	121205	224663	170470	195079	168393	138795	139004	117313
763550	1031908	1174821	1308725	1194888	1650706	1706516	1222375	1044134	1201825	1537683	906015	1129975	1116375	996415	974835	1376837	1064105	2537275	2181718	2727263	2334410	1655666	1084475	1101728	1614816	1204458	952797	1524509	1499154	1638688	1469321	939167	1026537	1134869
1469475	1884160	1504537	1839875	1770383	2220411	2223825	1883959	1348046	1556641	1842896	1283231	1707744	1722605	1551190	1534537	2112663	1600983	4176848	3725579	4450671	3474647	2377643	1687840	1962427	2369147	1774446	1562098	2457395	2267236	2313813	2160566	1488935	1597548	1692461
18961	22532	18875	16938	21957	20305	21322	17808	14789	16526	19775	11787	17889	19515	14134	14760	23166	20232	34506	17592	43135	36127	13416	19522	18922	27897	8234	13423	12461	27292	28331	23725	18660	431	9862
506081	577996	530985	652601	632063	701858	756824	728431	437861	507305	776952	475401	473279	502723	370956	376489	619044	554614	905811	730854	1387451	1125545	643258	541704	521068	798293	460235	425650	548609	695966	648237	609237	443777	366066	448269
246007	277400	305774	398016	297036	351523	359295	288318	275891	331955	416331	254783	274996	294330	240777	293027	399631	314928	639964	560929	827937	625451	433896	309985	357969	437416	359788	297795	378709	431638	483382	401201	277501	363435	309588
2278354	3197930	2435449	2881820	2791062	3674622	3661782	3568842	2348745	2750089	3165971	2104994	2945262	2950396	2590731	2414186	3257983	2444553	6977654	5975969	7161056	5812183	4027658	2873303	2982719	4096860	2875755	2543847	4072402	3676425	4017421	3460010	3221266	2947671	2694310
172114	228336	153480	184988	186594	220916	223756	318688	147651	173605	194924	123557	187996	205405	199926	196442	238049	196885	477045	404702	458521	454663	269070	238392	209636	336907	188008	199991	277244	240338	250969	232713	205647	214078	175530
389067	421151	339358	465893	471884	520178	517007	488958	304080	365695	439359	277658	463187	457547	406519	384639	507382	412156	1005781	857706	921921	846428	586883	442551	429309	616557	402446	378766	577207	490762	514688	501236	488417	380645	365704
403196	458246	411265	532691	492771	546593	517142	583749	340599	399024	475447	340904	525979	533936	490284	426783	566934	476636	1209211	1069964	1209217	967812	681131	537646	559390	736980	507498	479938	712582	625236	790716	658814	554799	531001	483071
3714998	4854032	4436037	4950088	5498233	5692393	5763660	5697332	3823416	4313607	4726416	3308045	3944111	4048970	3470974	4180025	6204591	4638352	10602831	7080010	12176860	10971861	7263313	4683222	5708526	7913259	5393796	4228387	6164533	6794529	6229372	5344578	4966927	4995567	4432344
5068681	7692629	4771919	6457846	6420885	7878307	7648480	7564042	4243719	4907488	6067666	4109384	6449701	6954577	6089197	5772693	7784788	5957609	15586532	13686457	15038124	12815197	8180543	6424290	6494790	8802639	6273303	5426537	9225637	7771300	7886050	7122086	7005338	5938215	5941351
13035	22622	12339	19246	17498	20054	15979	16353	17242	19044	27356	13691	19233	19637	16206	17219	26622	19993	38436	33639	52557	45446	29974	26238	22988	26039	21524	15567	25816	26297	29085	21981	15148	24015	22066
25142	39159	31892	32950	45238	41520	40051	35916	30411	26900	33957	26400	23700	26810	20152	28848	34049	29386	65380	54235	80120	62083	48263	35332	34173	54106	30808	31720	38460	42233	44514	43521	27057	39975	30272
22653	31528	31511	32691	39600	38232	37947	39926	26354	31113	39245	26849	23731	29895	24388	31760	31876	31290	74220	56247	77916	60947	50418	41147	39870	49092	38407	39378	38537	46581	50235	42144	37477	39944	37011
21371	34900	29844	24870	40712	32518	41470	34713	24678	26575	35719	24559	24425	30479	23517	28863	34222	32107	65896	52711	78041	71186	40509	33545	29500	47964	33597	26529	40380	40073	48664	43340	30529	25401	29717
364557	612920	292806	421612	413325	533762	479229	769056	311665	347431	424528	269981	454143	458771	423161	360484	482798	363424	709194	951603	980067	821004	582421	419586	427580	583990	396540	365514	632372	511738	537330	521598	473510	373388	367462
241460	246030	284237	301911	308606	353472	332764	283839	211376	253113	302709	184260	268003	275290	237348	251077	341855	272329	560108	566659	732059	566071	405491	293082	293758	397837	296751	257909	392792	385247	416723	372446	269608	323543	283351
115043	148034	120126	143919	150970	140911	154797	147381	119371	125718	177179	114403	145795	129863	110552	107227	142330	120207	240539	274685	266489	280338	157444	130253	141174	196916	140984	117762	199162	157999	185174	151695	147711	122542	127878
176876	296911	203202	216471	234068	351980	338406	211588	175493	190747	252548	181466	216287	217502	175602	182355	249990	189457	359236	399372	446153	389309	278631	199401	204377	299319	194346	176018	287434	237740	271634	253185	194512	223100	178932
9732	16077	15238	20151	20626	19180	19462	19824	13488	16301	18042	11019	12732	9324	8325	15117	14566	15424	30532	27575	39406	32078	27152	15413	15810	24733	18670	18120	15499	20122	23696	22766	13527	19310	15201
3550792	5353611	3633717	4749617	4776738	5567129	5459734	5744129	3297559	3802248	4659266	3043028	4370397	4447354	3898435	3769729	5119684	4012406	7722765	8624369	9997352	8290055	5874761	4320137	4450433	5928180	4122687	3805378	6027084	5137503	5610663	4953537	4627861	4304717	3899958
200133	301454	182619	281223	253985	297900	300154	293180	147406	188710	201240	147953	247634	254936	260105	208354	283169	200081	338377	536862	508263	420111	352037	257020	260872	290357	210399	216026	359851	268855	263280	257834	267211	210375	217765
641488	879042	540993	785701	887036	783323	796688	965466	615408	719020	900177	607875	651728	642099	623852	692266	895132	565888	1535027	1402976	1841959	1441884	845286	593275	721033	1137151	877454	596074	1107784	994373	946959	930094	782415	896512	563236
1052035	1554328	1072824	1369138	1409201	1841130	1921242	1821968	948624	1134870	1367784	836618	1353293	1361854	1171307	1127151	1571701	1297885	2408009	2634150	3200582	2734777	1841343	1380419	1449431	1968302	1270451	1225459	1735703	1626946	1864363	1576208	1444540	1388496	1227367
44093	60599	38640	45560	51446	48867	59777	72363	35510	44839	58017	32681	73322	65766	62676	60164	79996	66013	113941	130514	152519	122258	86436	71400	76431	81745	73898	61770	74491	76837	116572	83563	78609	75318	62243
84733	113744	97808	117366	128739	143969	124109	135595	113979	122397	140866	82042	126360	131918	111319	120000	176048	117705	239821	248514	380756	274844	201559	135686	153866	202562	182575	136314	243135	196273	226918	151350	138649	150060	159696
1781785	2252525	1853984	2228298	2305853	2664159	2614669	2527613	1738286	1963261	2424629	1539883	2015673	2062610	1736546	1833753	2534143	2021749	3794986	3952766	5111189	4173260	2796901	2216075	2145906	2988702	2052411	1784100	2731295	2602811	2953540	2558248	2105989	2250151	2064742
968027	1165245	1097658	1300167	1303856	1449777	1329824	1432929	928997	1152557	1189723	825824	1247512	1362246	1166889	1134653	1552359	1230565	2429597	2486283	2985877	2375716	1599070	1153633	1322584	1693316	1241458	1127590	1701976	1502943	1802866	1391590	1358914	1280574	1069471
289594	293847	333961	358601	359804	395177	356131	391449	263240	306856	420212	289137	315351	346532	324090	336945	433092	338713	710022	647067	969812	667476	464812	343084	407190	478716	357016	337514	406282	422979	476588	390897	344124	371213	285505
232413	294789	244519	296246	319155	344552	369833	290766	203394	242319	329514	208099	221057	218331	220876	235534	323658	253489	489908	387242	624237	546615	306125	206385	267233	369101	221439	244447	260278	276396	359694	324104	232289	283453	215033
779340	895768	760243	1028375	1027288	1266227	1262022	947802	793547	946639	1172814	869467	872832	902945	751493	818363	1148889	854403	1588280	1914524	1865123	1640208	1326373	985827	904925	1167246	957550	732100	1264246	1182767	1298633	1246160	876725	1098920	758820
16609	26061	18026	22257	20055	32884	26508	26247	19389	17765	18374	14734	17402	14883	15777	16768	25574	16219	49814	40757	56557	51554	24645	23049	21653	36382	20996	18190	26299	28759	30145	27036	19756	19750	22673
172613	294927	182775	257388	224150	303442	296453	316945	180010	205695	205583	146463	244401	249941	242250	201613	281858	207831	463617	559894	571852	471511	344933	251671	303621	331133	252290	237413	413696	307151	338542	301768	256143	233407	253095
664464	952169	762026	999711	1157864	1384456	1338827	1081617	958224	1175014	932691	653835	917385	967079	924899	774912	1058510	782107	2386169	2398931	2032840	2904674	1393888	1081412	1267231	2051288	1216374	1012710	1621896	1531809	1552791	1012207	1264716	778567	785593
3170233	3161270	3578096	3399462	4360302	4480636	4389375	4723395	2601803	3020262	3560937	2359782	3303749	3437584	3033776	3706566	4319758	3635892	6162713	5215879	8773475	6237315	4753918	3478549	3560786	4494242	3438184	2673945	3812635	4307808	4752681	3895458	2893051	3085765	3025926
52117	74061	106234	85915	48800	57865	55286	76054	36069	39590	90093	71650	66012	52591	51627	46200	84532	47103	194986	137218	185004	149945	89471	88870	69179	91093	103877	68947	81549	123201	87818	98709	39381	63652	77992
3610	8267	5301	4856	4378	9683	8897	10559	5308	3792	5185	0	4594	4847	7363	10542	14903	3914	22106	22116	17133	30686	844	10638	13313	14832	10857	9964	16924	15525	10392	11503	11286	4292	5482
33309	65663	80894	63796	59399	69503	66152	74390	54759	54466	44478	25460	44555	47304	64047	77178	100220	52452	157838	134312	125585	176796	38634	88717	77153	126265	92943	62311	99537	105911	67493	73137	68662	37712	43570
364252	503473	517354	502221	561749	452876	475898	554065	433693	521397	474665	306008	444465	462629	427601	516076	693280	486778	1122029	1020550	1284726	1225225	549290	636143	735108	872656	621713	607787	746609	780486	714270	706510	589558	399795	468518
10561	12412	11268	13188	14706	17964	16473	21466	15207	13188	17648	12966	13861	13109	10729	10863	15970	14314	30392	27065	38562	26331	18719	17646	14733	22421	17519	12069	16228	14690	21813	15907	13313	13198	16379
496225	542147	518236	584051	719441	687491	683287	625546	539259	624417	629084	421939	545161	563511	498895	524313	721336	536461	1321212	1080736	1700158	1343570	825045	606842	654155	942564	580234	597032	684396	720077	775881	530585	638185	504472	519888
16219	21405	17663	18321	23918	26281	25937	22397	16462	20035	18450	15847	14968	15049	13403	16523	24058	16370	42717	36423	40739	40971	26278	19743	19275	26058	22472	21992	22404	25840	33747	20500	18426	25097	19455
1865117	1932973	1417056	1814999	2238979	2499242	2466294	1927818	1722016	1987287	2220938	1181392	1734949	1757038	1526691	1568712	2120133	1648118	3921985	3475310	5039164	4204283	2519660	1844577	2245669	2931787	1881758	1942733	2312736	2335395	2648790	2037756	2041019	1725992	1717414
200669	224508	166333	207684	231480	239190	237913	205740	144292	166100	249745	154470	213812	212095	163563	184370	250123	210181	480930	389788	661537	508743	285028	235888	271087	348545	203074	237001	260005	275151	294171	264653	257053	210546	207372
672678	626454	645080	751720	785054	1076728	1093221	853795	664431	810818	924222	580662	746957	824403	729758	746402	999851	822491	1766593	1506726	2419009	1844320	1110259	840476	1043447	1264858	855763	821876	1024301	1080052	1039851	920368	922562	704932	804317
716579	764073	779820	943721	812034	755796	736326	853217	467270	559126	836214	447120	680426	715447	664959	703087	987694	676841	1545106	1483777	1986724	1890214	1060328	878328	1007060	1334554	830194	855209	1061871	1010124	1171393	677929	906372	573048	602953
1466439	1670547	1195349	1646418	1758110	2367561	2296005	1842681	1259713	1408554	1779219	987890	1383799	1395359	1180401	1217610	1637102	1328551	3180439	2957570	4916270	3399782	2356830	1533946	1837862	2479291	1425686	1523083	1893855	1731977	2391131	1665177	1749060	1612299	1387280
444457	504587	288156	465829	514649	745132	743525	576674	366157	407757	521588	246517	442817	466266	379040	396058	504733	415927	1004971	864872	1746065	1116767	707571	453957	581813	839109	445000	495411	679066	545055	758367	508763	660157	590347	390330
332198	394974	341070	398553	407751	478640	475467	423496	328550	374348	463246	299880	305471	302648	228988	236837	297975	279723	688347	627669	927014	813273	456879	353751	411265	581896	357475	347126	401199	425955	507906	427199	346366	393130	309538
206290	251738	201925	226354	259538	268929	260577	249075	182118	205015	258752	173051	242148	246782	161212	187456	246995	221064	547195	405092	714597	565314	319872	257667	290415	391166	287872	259826	331460	364741	362028	279938	265082	271844	258341
476728	573579	451663	555312	542568	689852	657915	674554	421751	482961	582408	377438	458394	482792	454079	482287	634635	512874	1003563	889942	1446012	1095967	643272	482964	559505	776598	466210	495798	601492	587187	667971	602612	530424	607696	407898
121588	142566	111141	134290	138323	167178	179868	188964	99884	128712	158342	86909	112163	120415	101894	108100	147278	140707	243754	231954	333548	261279	132080	134750	142642	197914	138320	138524	151391	168528	192428	159748	125554	138987	88245
243990	287187	256011	256254	270865	380148	359361	331431	204131	253668	339536	183367	277812	286754	249590	280811	382965	307426	620575	566152	836687	662828	444979	334467	336037	472475	330587	303435	414975	430889	406507	355368	310361	313642	279466
183314	215419	153671	189596	204082	277400	261968	228192	132845	148732	213998	138773	177507	187526	155162	172331	231377	189794	418614	337792	559419	446938	305108	223295	242358	292763	199471	198727	253427	248944	300174	232926	203818	231357	183517
1541167	1471773	1124144	1290446	1328435	1765073	1676454	1375007	1072137	1248030	1687520	875683	1248604	1278610	1176186	1226634	1692440	1227637	2823360	2341627	4387942	3145001	1864317	1328403	1630780	2191081	1163380	1374745	1641840	1515368	1897875	1510029	1579766	1666831	1145380
256769	213322	159716	137445	118010	273235	287324	177003	143076	155190	258998	109342	250667	236401	214807	204552	240199	225174	585224	505077	986912	643871	334402	259625	297880	455137	221006	248597	271728	267087	327361	307350	324051	339032	181971
155460	157559	130391	119852	140218	201092	197840	172334	104417	129827	199248	91562	138847	135856	99293	86769	117062	136206	319313	292328	475480	326235	188692	156825	181377	242649	142177	146539	189142	167172	245520	173301	178589	169056	134464
756814	795074	509072	621544	679589	1040896	998646	848636	591215	701222	895644	493458	650695	668581	568858	601665	780284	670863	1479273	1299787	2213058	1527701	1061580	643174	859290	1084819	656401	729829	891380	819699	1062805	811277	776717	835507	638057
525319	443982	427567	480511	460781	648736	618990	526578	394478	467393	587694	252604	452903	431243	410745	383890	476398	391797	1154766	898368	1631499	1219576	620991	468461	608707	857769	493206	502941	626061	601475	642860	538790	605805	618347	443585
229159	220765	211444	230763	234574	280457	295554	252432	208650	235377	297269	162521	206854	218344	179521	203574	275155	217303	481764	387354	697552	535120	329458	248541	255857	369852	243772	239627	282634	287386	343370	276799	230302	281589	235382
289318	237736	204925	234439	265203	340346	313520	277945	153211	183864	387633	183414	290428	301843	254679	257000	346800	278805	660864	642825	999227	775179	473972	339642	348911	555057	338480	328923	417028	418500	471995	347073	389800	380830	282399
15266	21633	17431	18800	27856	29517	27643	23415	15140	19489	27647	14065	17509	18977	15326	14711	24203	17233	37486	32276	50228	44014	35467	23004	28266	27984	22031	24156	26198	31222	30312	25952	19313	24422	20561
864384	706813	537523	640814	758191	969378	987290	858974	593965	705932	1014469	481582	704390	704809	607576	541167	742365	602733	1659371	1575982	2686876	1765658	1007100	739040	956047	1221188	787516	813377	1127200	1030421	1126015	803323	994957	923512	557365
18100	32711	24801	31261	30953	31770	34082	33018	19162	22983	35773	19534	16480	21834	18231	17080	29500	22247	45610	37360	65435	54265	39542	33322	28184	41881	26351	27588	31208	36329	34183	31132	24156	26837	23516
17505	21376	14494	19551	19014	28110	27554	24261	15666	21248	24801	12424	17263	17295	15254	14493	23242	25997	34917	34898	54583	38408	21792	21817	26750	29889	22711	18874	20416	31200	34155	27068	16834	23686	15433
1750007	1785546	1255509	1507118	1539345	2462929	2426732	1943498	1288765	1479598	2207041	1123642	1660208	1716518	1546674	1513067	1912747	1539846	3807983	3353727	5690091	4009587	2417084	1529898	2179595	2801772	1688202	1761676	2311721	2223053	2511822	1943039	1983464	2067482	1386603
287555	238006	349110	308061	443880	491238	507540	491693	239356	266672	244870	225723	384832	412641	363509	444888	469107	427825	800162	792025	1032213	782629	555971	452086	408568	532806	422721	325873	480502	537064	638084	570300	342147	492186	370149
994543	1228202	1108042	1296044	1359547	1540682	1462786	1513980	865764	1003888	1291635	895535	933782	934164	794896	926455	1391057	1032344	2723037	2642816	2641562	3363983	2345795	1426858	1317427	2388441	1474380	1440998	1735186	1940103	2209747	2128239	1362633	1266159	1766518
287246	402968	346432	384956	383692	371989	384265	323112	306818	350889	368323	219964	238360	246709	226949	239913	387466	277964	669657	586883	814673	627601	402403	315661	342774	398018	325787	250863	462898	395092	384941	361984	240505	273322	269522
10579	13795	14044	16378	10634	19056	21274	16953	10301	13824	14306	12537	11427	12867	12457	13131	16453	10959	31803	22470	35536	29068	17974	12279	15661	20272	12499	13105	16375	16835	23196	20909	15929	17078	14674
2322004	2676837	2125993	2588615	2612623	3483655	3336890	2887610	2044491	2449559	3083764	1861018	2209779	2269714	2021959	2355291	3340250	2515990	4911668	4440426	6678856	5586942	3798750	2805639	3232939	3867603	2666849	2792206	3612129	3353960	3870967	3300090	2401284	3311145	2468456
30138	40197	35014	31509	44521	36194	42275	40191	27538	33687	40898	25230	22844	25803	26552	27135	42550	31583	58306	54015	75741	63755	41311	33858	37550	49445	34925	27924	32631	37224	45843	40448	26239	31640	36342
424787	517086	398426	474173	489572	667228	645434	614556	397655	453074	558529	350434	396404	394296	342181	418540	550369	448375	891646	745774	1194517	995482	676749	504300	548953	698330	472786	489071	607518	584914	658899	603759	415074	549480	458856
17382	24444	17238	21880	25691	26772	25058	29393	21562	15236	26771	15976	18775	15755	13255	17264	25136	21580	35643	27316	50167	46343	28967	21245	23730	28626	19291	17043	23382	27859	29006	24436	19479	23034	20865
244319	324361	235829	303206	301708	423111	365559	348156	213656	238674	386677	221749	251019	245748	224619	256876	368702	288728	568930	504854	754377	607723	436521	319642	426949	443162	309470	353968	433723	384905	453346	391179	279300	387725	251135
481022	562414	446973	558409	578668	698148	633680	655845	424211	502829	556433	375941	435346	468337	363609	451929	616529	561786	1026041	987580	1300979	1086632	726628	552549	604999	746858	584971	504840	646711	727219	811236	620025	517723	586901	516782
455539	643315	503981	568978	682551	658909	678983	675869	421238	512173	605944	387081	491193	514615	467892	551086	775965	583788	1278789	1008590	1519832	1289467	874560	643265	767432	922672	566171	672755	823360	741315	803095	750557	554888	781546	598727
1179675	1473426	1169249	1346745	1338641	1748963	1776882	1493001	1094395	1275064	1726912	1105559	1159371	1187453	1031454	1199048	1625311	1317495	2719074	2263461	3505054	2824737	1878628	1462172	1676001	2103227	1397174	1400264	1777116	1730079	1853950	1711224	1272339	1600919	1260760
27704	17927	26264	11317	16970	10862	22556	28962	11458	12391	27976	22994	10251	16278	4777	4979	5804	15082	36260	30847	81588	43494	35544	29094	42052	40131	32045	32572	48814	45759	4873	19177	29187	26345	11057
605905	796729	749274	917271	875466	1105400	1098178	1061266	634946	739681	839405	569695	702496	702148	628345	828145	1109016	765508	1492414	1413617	1855477	1483285	1306996	968235	1118743	1063305	946967	945510	1207093	1089967	1213848	917768	722358	1055790	799928
40306	51263	43673	52902	44001	63971	64321	48896	34096	42930	50792	34784	65787	73931	69194	59979	92840	93983	184952	163159	254492	201006	87778	101005	99906	129722	98329	87874	112464	119560	101616	83549	83986	95044	49842
916727	1067034	765311	925405	925794	1367506	1365335	1135205	713367	815382	1067446	643114	989709	993118	873048	929707	1298188	1103584	2235044	1856430	2854227	2329344	1368663	1180726	1363104	1656226	1068106	1204071	1413880	1302726	1418673	1365983	1050138	1426390	870568
