Debug019_aegypti_El_Dorado_Argentina_U_10	Debug019_aegypti_El_Dorado_Argentina_U_11	Debug019_aegypti_El_Dorado_Argentina_U_2	Debug019_aegypti_El_Dorado_Argentina_U_4	Debug019_aegypti_El_Dorado_Argentina_U_5	Debug031_aegypti_El_Dorado_US_U_24	Debug031_aegypti_El_Dorado_US_U_25	Debug031_aegypti_El_Dorado_US_U_26	Debug031_aegypti_El_Dorado_US_U_28	Debug031_aegypti_El_Dorado_US_U_29	Debug031_aegypti_El_Dorado_US_U_30	Debug031_aegypti_El_Dorado_US_U_31	Debug016_aegypti_Cali_Colombia_U_10	Debug016_aegypti_Cali_Colombia_U_11	Debug016_aegypti_Cali_Colombia_U_12	Debug016_aegypti_Cali_Colombia_U_5	Debug016_aegypti_Cali_Colombia_U_8	Debug016_aegypti_Cali_Colombia_U_9	Amacuzac_Mexico-_12	Amacuzac_Mexico-_15	Amacuzac_Mexico-_21	Amacuzac_Mexico-_2	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8
1870924	2453064	1953667	2314131	2543902	2908518	2846494	2685954	1801410	2126104	2500467	1707057	2167617	2168986	1937851	2365425	3076516	2329893	4531962	4356146	5793380	4335155	3185839	2609542	2304496	3060831	2377806	2055548	2661405	2886205	3245511	2723232	1891524	2466906	2276887
25119	30492	26231	29935	34592	42736	33218	36219	22103	24546	38863	21446	20513	26627	22439	28317	38494	29654	51364	48955	61384	46058	40931	27946	29275	43056	23954	27027	32872	40041	41436	38034	25106	29128	25969
851394	963355	795598	975264	1022698	1248291	1251211	1172820	722715	857263	1286446	759737	838215	864387	785215	914071	1194474	934350	1651582	1557384	2669489	1848365	1396222	1126061	915005	1306888	1081901	910761	1270507	1324113	1572728	1243154	861230	1066725	922652
4038590	5509416	4732849	5570293	5168464	7089940	6514146	5760852	4212346	4862253	5958400	3787129	5452655	5723475	4883049	5647749	8102875	5659020	12278617	10779259	14934016	12844953	8774671	6243460	7541255	8911996	6004323	5697323	7086073	7606954	8536847	7860414	5350626	6191161	6260279
1470691	1528136	1500677	1824317	1871833	1473579	1852174	1699251	1364117	1611554	2158921	1289483	1109317	1131309	832101	1032784	1099874	1294776	1926072	1972612	3413191	2420427	1987980	1472963	1265281	1845996	1399842	1074018	1620549	1486600	2000440	1808230	1001112	1241077	1322777
171353	127925	138665	128848	134278	194098	185242	178106	109733	124843	197874	126146	169981	168664	163944	226693	288154	245893	429707	250370	504725	406184	249786	197511	245136	280050	169520	197598	232558	225445	312642	309783	200714	175785	186850
1854593	2273708	2122485	2408648	2504495	2810110	2812808	2700525	1839114	2091701	2441440	1593385	1891912	1970603	2028882	2426385	3260668	2316920	4399645	3933137	5201971	4381787	2917869	2419716	2351545	3139684	2214503	2054881	2736053	2745676	2981875	2640314	2086154	2678314	2005938
40607	89445	69313	90617	76128	90376	89013	118020	49334	57118	71023	48928	77190	76734	71391	105240	141328	51771	150469	182151	200597	181301	71728	87728	123645	133220	73623	87492	82244	87850	116828	127213	76687	85880	66737
1821959	2120255	1990273	2168931	2250490	2696410	2669452	3009216	1623644	1866348	2361335	1596757	1739916	1766749	1877007	2240276	3116460	1785067	4960327	4472176	6040366	4939058	3413889	2624733	2717651	3503141	2562051	2353452	2852490	3193331	3282477	2860422	2289872	2581810	2234231
27362	30227	24109	27653	30002	35068	41559	33124	19399	28356	33493	21873	23653	21099	19063	31996	38931	27144	44124	48178	66549	57029	37812	30932	26779	36814	30208	24902	28052	33583	41327	38284	26528	30115	26539
384475	514288	403957	486981	486962	556761	551171	708860	375720	427171	587916	368650	386093	432134	450653	556366	798946	510630	1359587	1368445	1367095	981770	801415	711989	578576	739752	695977	507691	668050	917723	787024	654527	475350	590162	508488
1368	5713	10694	6926	10064	12674	15479	1882	6342	6652	1996	4329	4427	2368	5762	8124	10129	1023	15094	2598	31298	18909	19029	9522	5912	13999	11279	10943	18160	10634	14938	5343	5485	15995	9932
12509	13270	13304	17720	22450	20315	24661	17655	14779	18129	14711	13065	12569	14289	7563	11602	14815	15346	30570	25885	49061	43166	33768	17603	14685	31575	22576	19277	21793	30843	34468	19354	14792	24929	22003
13218	12798	11338	15522	16074	16267	15138	17076	10924	9864	18325	10701	11957	12554	9065	11347	13075	16249	27210	26018	45975	38312	26224	21286	16572	29331	19690	17254	21301	24322	24729	16184	13919	20468	18641
6364	8355	7459	8465	7710	9694	8817	11808	8383	7276	8809	4905	5917	5690	6462	6950	7751	5665	12722	12279	20281	15599	10390	7098	8581	14248	7743	6840	10142	12632	12722	9162	8150	10928	5703
1036308	1411544	1195276	1465594	1476626	1610969	1635009	1883855	1098094	1268262	1225476	891291	1298688	1336541	901389	1085746	1518832	1783266	2438425	2053574	2878433	3419435	1492343	1326608	1621977	2414614	1253351	1009308	1335785	1589265	1575365	1884783	1164404	1243727	1501549
16665	18136	15250	18789	16975	21767	17610	22109	14319	17211	20195	12622	15342	12190	11046	16066	20972	17299	27402	23756	41945	33258	29932	22166	19102	27006	23770	16096	21212	24031	23107	21810	15276	20033	14094
132642	204498	182387	253267	251040	146739	135643	200362	99769	120472	147223	88996	124578	128389	66965	75479	112243	206212	168660	164080	220374	312719	121428	102774	144494	224545	108940	88413	129437	125007	127945	186067	88543	95445	163963
90026	102177	90602	95291	98924	124603	117415	155392	69797	71850	110925	64137	92742	90413	44921	60098	75911	126571	134343	125068	195704	270574	111264	87148	140948	188563	73748	70240	83387	96533	111371	131765	64069	79730	123906
13673	16201	15521	16556	17508	21376	23086	17473	15678	11561	21478	13058	16044	13869	10724	13011	17251	12597	29625	23514	40167	30747	22042	13912	14956	24465	17389	16284	17584	18183	18411	19924	13449	17703	12609
132594	151807	132058	164337	148148	169630	174503	144222	103426	118382	159359	92057	73287	81336	74360	83692	121914	95383	194846	163993	251518	215282	147569	109915	120602	161475	106769	110498	117060	136563	147670	131933	100669	122259	95416
