File LD Dist value ci_l ci_u
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 775.248248248248 0.197507656812707 0.139294304548182 0.249322920423407
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 805.027027027027 0.193892957672696 0.136723877593136 0.245248731679677
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 834.805805805806 0.190455640804023 0.134302439009127 0.241341292986546
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 864.584584584585 0.187182919958956 0.13201735834064 0.237590543750495
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 894.363363363363 0.184063210590131 0.129857396067512 0.233987217485632
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 924.142142142142 0.181085991839045 0.127812517078072 0.230522764957893
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 953.920920920921 0.178241687121726 0.125873733390631 0.227189286086057
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 983.6996996997 0.175521560451938 0.12403297090732 0.223979469457296
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1013.47847847848 0.17291762613403 0.122282956021155 0.220886538482133
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1043.25725725726 0.170422569856138 0.120617118707732 0.217904203353827
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1073.03603603604 0.168029679539147 0.119029509370865 0.215026618095097
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1102.81481481481 0.165732784562464 0.11751472721658 0.212248342074569
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1132.59359359359 0.163526202206036 0.116067858332241 0.209564305459563
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1162.37237237237 0.161404690328217 0.114684421969915 0.206969778143364
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1192.15115115115 0.159363405448458 0.113360323792689 0.204460341746005
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1221.92992992993 0.157397865527956 0.11209181505278 0.20203186433965
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1251.70870870871 0.155503916845172 0.110875456841238 0.199680477594174
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1281.48748748749 0.153677704449974 0.109708088688745 0.197402556076822
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1311.26626626627 0.151915645753262 0.108586800911708 0.195194698472726
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1341.04504504505 0.150214406870546 0.107508910192361 0.193053710521501
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1370.82382382382 0.148570881390104 0.106471937959877 0.190976589489701
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1400.6026026026 0.146982171280621 0.105473591204525 0.188960510020229
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1430.38138138138 0.145445569690885 0.10451174541113 0.187002811218316
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1460.16016016016 0.143958545426296 0.103584429343531 0.185100984849794
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1489.93893893894 0.142518728914484 0.102689811449857 0.183252664541481
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1519.71771771772 0.14112389949596 0.101826187690611 0.18145561588577
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1549.4964964965 0.139771973896085 0.100991970618715 0.179707727362318
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1579.27527527528 0.138460995752165 0.10018567956374 0.178007001999176
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1609.05405405405 0.13718912608468 0.0994059317921561 0.17635154970403
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1638.83283283283 0.135954634614782 0.0986514345321517 0.174739580203555
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1668.61161161161 0.134755891841636 0.0979209777659123 0.173169396535342
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1698.39039039039 0.133591361803112 0.0972134277045014 0.171639389042608
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1728.16916916917 0.132459595452026 0.096527720871058 0.170148029826926
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1757.94794794795 0.131359224587695 0.0958628587271213 0.168693867618734
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1787.72672672673 0.130288956289227 0.0952179027847629 0.167275523029366
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1817.50550550551 0.12924756780279 0.0945919701540173 0.165891684151902
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1847.28428428428 0.12823390184023 0.0939842294810203 0.164541102481291
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1877.06306306306 0.127246862250926 0.0933938972374103 0.163222589127036
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1906.84184184184 0.126285410032759 0.0928202343260358 0.161935011294253
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1936.62062062062 0.125348559651566 0.0922625429719359 0.160677289011169
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1966.3993993994 0.124435375641621 0.09172016387099 0.159448392083153
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 1996.17817817818 0.123544969462382 0.09119247357165 0.158247337255199
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2025.95695695696 0.122676496589264 0.0906788820678093 0.157073185566386
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2055.73573573574 0.121829153818334 0.0901788305831986 0.155925039881349
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2085.51451451451 0.121002176766803 0.0896917895297506 0.154802042585074
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2115.29329329329 0.1201948375529 0.0892172566241937 0.15370337342856
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2145.07207207207 0.1194064426403 0.0887547551487416 0.152628247513943
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2174.85085085085 0.11863633083362 0.0883038323431722 0.151575913408658
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2204.62962962963 0.117883871412784 0.0878640579168511 0.150545651379108
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2234.40840840841 0.117148462395156 0.0874350226703857 0.149536771735079
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2264.18718718719 0.116429528915337 0.087016337217593 0.148548613276899
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2293.96596596597 0.115726521713431 0.0866076307993617 0.147580541837968
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2323.74474474474 0.115038915723408 0.0862085501817856 0.146631948915885
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2353.52352352352 0.114366208753899 0.0858187586316621 0.145702250385973
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2383.3023023023 0.113707920254445 0.0854379349630862 0.144790885291447
aegy.wgs.non-AfrI3.AfrI3.unrel.n1206.mapQ20.JntSNPs.dMM4.Ngoye.6.1MBs.beagle.gz.mm05.50kb.rnd10.ld.gz r2 2413.08108108108 0.113063590160806 0.0850657726494484 0.143897314704964
