1_BurkinaFaso_1_3	1_Gabon_1_1	1_Ghana_1_1	1_Uganda_3_1	1_PuertoRico_3_1	1_BurkinaFaso_5_1	1_SaudiArabia_1_5	1_Vietnam_1_1	1_BurkinaFaso_3_3	1_Ghana_2_2	1_Gabon_2_4	1_Ghana_3_2	1_Uganda_1_3	1_Philippines_1_1	1_Gabon_3_2	1_Philippines_2_4	1_Senegal_2_1	1_Senegal_3_1	1_Uganda_2_2	1_Ghana_5_1	1_PuertoRico_1_1	1_USA_1_1	1_SaudiArabia_2_1	1_PuertoRico_2_1	1_Uganda_5_1	1_BurkinaFaso_2_7	1_Senegal_1_2	1_BurkinaFaso_6_3	1_BurkinaFaso_4_1	1_Ghana_4_2	1_Uganda_4_2
1_Uganda_2_2	0.00934	0.00969	0.00864	0.00424	0.0118	0.0588	0.0126	0.0557	0.0918	0.0159	0.0517	0.0944	0.0507	0.0261	0.208	0.0261	0.249	0.215	NA	0.211	0.125	0.0895	0.0288	0.00587	NA	0.00983	0.0109	0.00792	0.00792	0.00709	0.00518
1_Ghana_5_1	0.00432	0.00464	0.00339	0.00168	0.00684	0.0497	0.00501	0.0463	0.122	0.00586	0.0468	0.129	0.0482	0.0367	0.627	0.0367	0.551	0.688	0.211	NA	0.317	0.0227	0.0102	0.00251	NA	0.0177	0.00946	0.00861	0.00859	0.00767	0.00256
1_PuertoRico_1_1	0.00719	0.00906	0.00567	0.00147	0.0203	0.0381	0.00917	0.0375	0.1	0.0108	0.0449	0.101	0.0448	0.0918	0.381	0.0918	0.325	0.358	0.125	0.317	NA	0.133	0.047	0.00536	NA	0.0109	0.0079	0.00676	0.00676	0.00615	0.00837
1_USA_1_1	0.0131	0.0117	0.0116	0.00355	0.00556	0.0174	0.00193	0.0178	0.012	0.00165	0.00829	0.0104	0.0103	0.0765	0.0197	0.0765	0.0303	0.0195	0.0895	0.0227	0.133	NA	0.136	0.011	NA	0.00456	0.00467	0.00361	0.00367	0.00313	0.00558
1_SaudiArabia_2_1	0.00868	0.00879	0.00776	0.00309	0.00696	0.00715	0.00286	0.00773	0.0119	0.00289	0.00801	0.0107	0.00757	0.05	0.00884	0.05	0.0102	0.00828	0.0288	0.0102	0.047	0.136	NA	0.00318	NA	0.00493	0.00235	0.00363	0.00368	0.00344	0.00635
1_PuertoRico_2_1	0.00915	0.00971	0.00874	0.00228	0.0047	0.00348	0.00397	0.0035	0.00634	0.00435	0.00618	0.00587	0.00588	0.0052	0.00112	0.0052	0.00444	0.00128	0.00587	0.00251	0.00536	0.011	0.00318	NA	NA	0.00491	0.00364	0.00272	0.00276	0.00258	0.00497
1_Uganda_5_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_BurkinaFaso_2_7	0.0273	0.0299	0.0228	0.0106	0.00729	0.00936	0.00228	0.00937	0.03	0.00161	0.013	0.0308	0.0123	0.0102	0.0137	0.0102	0.0136	0.0175	0.00983	0.0177	0.0109	0.00456	0.00493	0.00491	NA	NA	0.232	0.117	0.117	0.104	0.0147
1_Senegal_1_2	0.00744	0.0111	0.00399	0.0139	0.00428	0.000652	0.00256	0.000599	0.00693	0.00267	0.000548	0.00738	0.00149	0.00547	0.0102	0.00547	0.00786	0.0101	0.0109	0.00946	0.0079	0.00467	0.00235	0.00364	NA	0.232	NA	0.126	0.126	0.0973	0.0199
1_BurkinaFaso_6_3	0.0529	0.0466	0.0493	0.0132	0.0051	0.00747	0.00208	0.00768	0.0253	0.00121	0.0121	0.0275	0.0114	0.0044	0.0132	0.0044	0.00697	0.012	0.00792	0.00861	0.00676	0.00361	0.00363	0.00272	NA	0.117	0.126	NA	0.655	0.66	0.0258
1_BurkinaFaso_4_1	0.0534	0.0471	0.0498	0.0135	0.00515	0.00764	0.00218	0.00785	0.0257	0.00132	0.0125	0.0279	0.0118	0.00458	0.0131	0.00458	0.00701	0.0119	0.00792	0.00859	0.00676	0.00367	0.00368	0.00276	NA	0.117	0.126	0.655	NA	0.654	0.0276
1_Ghana_4_2	0.0547	0.0477	0.0513	0.0123	0.00492	0.00794	0.00235	0.00814	0.0248	0.00153	0.0125	0.0269	0.0118	0.00423	0.0121	0.00423	0.00649	0.0109	0.00709	0.00767	0.00615	0.00313	0.00344	0.00258	NA	0.104	0.0973	0.66	0.654	NA	0.0308
1_Uganda_4_2	0.0507	0.0469	0.0519	0.0113	0.0105	0.017	0.00919	0.0173	0.0277	0.0114	0.0246	0.0248	0.022	0.0198	0.00306	0.0198	0.0034	0.00183	0.00518	0.00256	0.00837	0.00558	0.00635	0.00497	NA	0.0147	0.0199	0.0258	0.0276	0.0308	NA
